cohortDefinitionId,timeId,countValue,covariateId,averageValue,sd,minValue,maxValue,p10Value,p25Value,medianValue,p75Value,p90Value,mean,startDayTemporalCharacterization,endDayTemporalCharacterization
2899,NA,620,9201911,0.07376854128658682,0.9754664184076425,0,9,0,0,0,0,0,0.04917902752439121,NA,NA
2934,NA,129,1008,2221.8372093023254,1117.4215771608542,23,5036,577,1784,2117,2676,3962,1,NA,NA
2934,NA,129,1009,8.914728682170542,8.275557956785997,0,42,1,3,7,11,19,1,NA,NA
2934,1,117,3012888876702,74.58974358974359,12.035976133467994,50,128,60,65,70,78,80,0.9069767441860465,-730,-1
2934,1,112,40762887749702,105.52678571428571,57.323479116708874,49,375,62,72,88,112,141,0.8682170542635659,-730,-1
2934,1,103,3005456753702,4.262135922330097,0.48691032810827056,2.3,5.9,3.7,4,4.2,4.4,4.8,0.7984496124031008,-730,-1
2934,1,102,3027018541702,79.31372549019608,18.111306239641483,47,142,60,65,76,82,86,0.7906976744186046,-730,-1
2934,1,117,3004249876702,133.3760683760684,20.16814084388377,86,180,102,118,130,136,144,0.9069767441860465,-730,-1
2934,1,113,40764999117702,60.230088495575224,22.040550635443008,12,124,33,45,59,74,84,0.875968992248062,-730,-1
2934,NA,129,1002,81.05426356589147,10.74659108560665,44,101,68,75,83,88,93,1,NA,NA
2934,NA,202,9202911,20.217054263565892,15.193019482415421,0,121,5,8,15,26,36,1.565891472868217,NA,NA
2934,NA,160,581476911,9.868217054263566,10.181588312539343,0,53,2,2,6,12,24,1.2403100775193798,NA,NA
2935,NA,271,1008,1745.9741697416973,979.757874131624,13,4261,728,1052,1439,2532,3171,1,NA,NA
2935,NA,271,1009,330.57564575645756,235.8179319608746,0,888,16,128,317,506,658,1,NA,NA
2935,1,108,3012516751702,79.7537037037037,248.366591213501,1,1962.7,3,5,9,36,92,0.3985239852398524,-730,-1
2935,2,120,3004249876702,131.23333333333332,23.729474397509794,89,220,100,110,115,120,120,0.44280442804428044,0,30
2935,1,239,3004249876702,136.255230125523,20.208101271139622,60,200,105,115,126,132,140,0.8819188191881919,-730,-1
2935,1,168,3024731583702,92.28571428571429,6.706099517918433,71,112,84,88,91,94,95,0.6199261992619927,-730,-1
2935,1,132,3006923645702,25.78030303030303,57.85746033086836,4,578,10,12,16,21,25,0.4870848708487085,-730,-1
2935,1,122,42869607554702,95.67213114754098,4.074599048267912,70,100,90,92,95,96,97,0.45018450184501846,-730,-1
2935,1,149,3009542604702,0.3961744966442953,0.05619220532937558,0.14,0.58,0.32,0.36,0.39,0.42,0.43,0.5498154981549815,-730,-1
2935,1,110,3020682612702,19.535818181818183,62.31121240616549,0.1,392.5,0.6,1,2,4.9,15.9,0.4059040590405904,-730,-1
2935,1,104,3036277546702,1.685048076923077,0.09930460932483987,1.44,1.96,1.56,1.62,1.67,1.73,1.78,0.3837638376383764,-730,-1
2935,1,193,3005456753702,4.294818652849741,0.4664516914789702,3.3,6.5,3.6,3.9,4.2,4.4,4.6,0.7121771217712177,-730,-1
2935,1,239,3012888876702,77.05020920502092,10.57812025396336,50,100,60,65,72,78,80,0.8819188191881919,-730,-1
2935,1,147,3023399578702,2.060612244897959,1.283455430378026,0.02,6.6,0.55,0.94,1.61,2.23,3,0.5424354243542435,-730,-1
2935,2,102,3027018541702,83.09803921568627,17.23656590037734,48,138,60,62,65,68,72,0.3763837638376384,0,30
2935,1,104,44816672753702,7.368269230769231,2.9817654385773786,3.6,19.2,4.9,5.3,6.1,7.2,8.6,0.3837638376383764,-730,-1
2935,2,120,3012888876702,74.6,12.25869610733951,50,120,60,60,65,70,70,0.44280442804428044,0,30
2935,1,192,3027018541702,76.46875,14.976038890096952,45,150,60,65,70,76,80,0.7084870848708487,-730,-1
2935,1,215,40762887749702,101.93488372093023,74.62163401736119,42,1029,60,71,84,94,105,0.7933579335793358,-730,-1
2935,1,130,42870529753702,2.546923076923077,0.8825911869825669,0.4,4.8,1.5,1.8,2.3,3,3.5,0.4797047970479705,-730,-1
2935,1,141,3015183752702,23.79432624113475,26.560313501402923,2,129,2,5,11,22,31,0.5202952029520295,-730,-1
2935,1,145,3018251753702,6.360689655172414,2.106876853693246,3.9,23.6,4.7,5.1,5.7,6.5,7.6,0.5350553505535055,-730,-1
2935,1,195,40764999117702,60.241025641025644,20.39856369954742,3,110,30,40,54,66,75,0.7195571955719557,-730,-1
2935,1,154,3025315529702,75.32532467532468,19.480479794685547,8,150,50,61,70,82,88.5,0.5682656826568265,-730,-1
2935,1,133,42868692753702,1.5373684210526315,0.7765862502946665,0.5,5.09,0.7,1,1.38,1.7,2.22,0.4907749077490775,-730,-1
2935,1,133,3023602753702,1.332857142857143,0.4687775388735908,0.5,3.01,0.85,0.96,1.19,1.5,1.7,0.4907749077490775,-730,-1
2935,1,133,3019900753702,4.493308270676692,1.1104372069652997,2.3,7.4,3.1,3.6,4.2,4.9,5.7,0.4907749077490775,-730,-1
2935,1,110,3038553532702,27.378297961545453,6.449212064875223,2.7,68.5,21.7,23.1,26.4,28.7,30.8,0.4059040590405904,-730,-1
2935,1,157,3000285753702,139.68789808917197,3.2852691869271915,130,150,134,137,139,140,142,0.5793357933579336,-730,-1
2935,1,171,40762351753702,8.01578947368421,1.170488506416552,2.8,11.2,6.5,7.1,7.9,8.3,8.8,0.6309963099630996,-730,-1
2935,1,110,3020460751702,20.134545454545453,33.28910733592425,0.3,171,1.2,2.1,4,12,20,0.4059040590405904,-730,-1
2935,NA,271,1002,78.79704797047971,11.745107356205878,42,100,61,71,81,88,92,1,NA,NA
2935,NA,369,581476911,8.874538745387454,8.234361908265315,0,45,2,3,5,11,22,1.3616236162361623,NA,NA
2935,NA,419,9202911,17.317343173431734,12.690383646375237,0,80,4,6,13,22,32,1.5461254612546125,NA,NA
